Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-06-28 08:24:42,46.257587,14.424678,46245.52,28389.65,36505.84
2024-06-28 08:24:52,46.257622,14.424603,45624.96,28075.52,35963.91
2024-06-28 08:25:02,46.257492,14.42443,45624.97,28063.08,35973.62
2024-06-28 08:25:12,46.257492,14.42443,45624.97,28027.6,36001.27
2024-06-28 08:25:22,46.257523,14.424367,45624.97,28006.82,36017.44
2024-06-28 08:25:32,46.257526,14.424359,45624.98,28014.69,36011.33
2024-06-28 08:25:42,46.257504,14.424343,45624.97,27982.87,36036.05
2024-06-28 08:25:52,46.257515,14.424346,45624.98,27996.45,36025.52
2024-06-28 08:26:02,46.257504,14.42436,45624.96,27991.23,36029.55
2024-06-28 08:26:12,46.257507,14.424372,45624.99,27973.17,36043.6
2024-06-28 08:26:22,46.257496,14.424388,45624.99,27965.52,36049.54
2024-06-28 08:26:32,46.257496,14.424367,45625,27960.45,36053.48
2024-06-28 08:26:42,46.257488,14.424386,45625,27981.55,36037.11
2024-06-28 08:26:52,46.257488,14.424385,45624.96,27973.14,36043.59
2024-06-28 08:27:02,46.257496,14.424377,45624.98,27965.46,36049.57
2024-06-28 08:27:12,46.257484,14.424376,45624.98,27969.77,36046.23
2024-06-28 08:27:22,46.257488,14.424382,45624.98,27957.67,36055.61
2024-06-28 08:27:32,46.2575,14.424369,45624.96,27933.05,36074.67
2024-06-28 08:27:43,46.257507,14.42436,45602.42,26866.96,36847.62
2024-06-28 08:27:53,46.257504,14.424368,45624.49,26977.34,36794.26
2024-06-28 08:28:03,46.257504,14.42436,45376.14,26987.8,36478.11
2024-06-28 08:28:13,46.257492,14.42436,45452.45,26999.77,36564.15
2024-06-28 08:28:23,46.257492,14.424362,45497.17,26663.63,36865.2
2024-06-28 08:28:33,46.257504,14.424364,45847.43,27058.36,37011.25
2024-06-28 08:28:43,46.257488,14.424364,45943.07,27283,36964.89
2024-06-28 08:28:53,46.257492,14.424356,45541.79,26844.84,36788.71
2024-06-28 08:29:03,46.257492,14.424353,45727.13,27256.77,36715.64
2024-06-28 08:29:13,46.257492,14.424351,45668.37,27255.56,36643.34
2024-06-28 08:29:23,46.2575,14.424356,45764.34,27186.9,36813.68
2024-06-28 08:29:33,46.257507,14.424356,45401.2,27033.55,36475.41
2024-06-28 08:29:43,46.257507,14.424363,45804.07,27032.23,36976.63
2024-06-28 08:29:53,46.257507,14.424372,45601.68,26822.07,36879.39
2024-06-28 08:30:03,46.257511,14.424367,45684.84,27035.68,36826.31
2024-06-28 08:30:13,46.257504,14.424369,45741.79,27077.66,36866.12
2024-06-28 08:30:23,46.257507,14.424372,45403.03,26737.87,36694.98
2024-06-28 08:30:33,46.257507,14.424375,45405.79,27051.98,36467.47
2024-06-28 08:30:43,46.257492,14.424366,45765.79,26906.91,37020.61
2024-06-28 08:30:53,46.257496,14.424365,45780.68,27340.71,36719.97
2024-06-28 08:31:03,46.257496,14.42436,45603.3,27285.78,36539.67
2024-06-28 08:31:13,46.257496,14.424371,45594.39,26761.39,36914.45
2024-06-28 08:31:23,46.257492,14.424372,45491.6,26899.31,36686.68
2024-06-28 08:31:33,46.257484,14.424379,45747.04,27124.38,36838.29
2024-06-28 08:31:43,46.257492,14.424376,45365.54,26712.73,36666.92
2024-06-28 08:31:53,46.257504,14.424383,45654.09,27173.78,36686.25
2024-06-28 08:32:03,46.2575,14.424383,45657.4,27251.6,36632.61
2024-06-28 08:32:13,46.257496,14.424376,45465.85,27087.03,36516.25
2024-06-28 08:32:23,46.257496,14.424377,45477.59,26893.35,36673.68
2024-06-28 08:32:33,46.257492,14.424382,45860.31,27367.54,36799.26
2024-06-28 08:32:43,46.257496,14.424372,45559.88,27122.37,36607.1
2024-06-28 08:32:53,46.257496,14.424372,45625.88,27271.33,36578.62
2024-06-28 08:33:03,46.257496,14.424382,45590.96,27384.77,36450.11
2024-06-28 08:33:13,46.257484,14.424382,45722.67,27121.35,36810.25
2024-06-28 08:33:23,46.257496,14.424382,45441.77,26715.3,36759.31
2024-06-28 08:33:33,46.257496,14.424378,45537.47,26995.3,36673.07
2024-06-28 08:33:43,46.257507,14.424382,45704.85,27188.46,36738.54
2024-06-28 08:33:53,46.257515,14.42438,45633.27,26979.54,36803.53
2024-06-28 08:34:03,46.257515,14.424371,45498.46,27072.47,36567.62
2024-06-28 08:34:13,46.257519,14.424382,45667.61,26963.5,36857.84
2024-06-28 08:34:23,46.257515,14.424376,45529.7,26809.16,36799.75
2024-06-28 08:34:33,46.257519,14.424375,45396.15,27018.74,36480.1
2024-06-28 08:34:43,46.257515,14.424379,45389.4,26760.69,36661.46
2024-06-28 08:34:53,46.257507,14.424382,45761.16,27241.63,36769.25
2024-06-28 08:35:03,46.257511,14.424393,45568.14,27032.71,36683.62
2024-06-28 08:35:13,46.257504,14.424377,45592.39,27060.76,36693.07
2024-06-28 08:35:23,46.257523,14.424388,45641.53,27017.94,36785.59
2024-06-28 08:35:33,46.257519,14.424379,45503.2,27234.04,36453.37
2024-06-28 08:35:43,46.257519,14.424367,45274.64,26869.67,36439.18
2024-06-28 08:35:53,46.257526,14.424369,45635.34,27086.18,36727.69
2024-06-28 08:36:03,46.257526,14.424372,45503.98,27080.08,36568.86
2024-06-28 08:36:13,46.257523,14.424366,45415.86,27405.12,36215.47
2024-06-28 08:36:23,46.257523,14.424367,45267.64,26912.73,36398.68
2024-06-28 08:36:33,46.25753,14.424369,45191.61,26935.44,36287.25
2024-06-28 08:36:43,46.257538,14.424367,45232.5,26888.89,36372.61
2024-06-28 08:36:53,46.25753,14.424367,45436.09,26656.44,36795
2024-06-28 08:37:03,46.257526,14.424366,45518.45,27083.69,36584.19
2024-06-28 08:37:13,46.257526,14.424356,45783.35,27253.13,36788.34
2024-06-28 08:37:23,46.25753,14.424352,45420.26,26822.27,36654.68
2024-06-28 08:37:33,46.257538,14.424342,45703.35,27305.55,36649.73
