Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-09-01 06:10:05,45.7001,15.342748,47175.27,21666.84,41905.3
2024-09-01 06:10:15,45.700104,15.34276,47750.41,19330.03,43662.94
2024-09-01 06:10:25,45.700104,15.34276,47750.47,19252.78,43697.11
2024-09-01 06:10:35,45.700104,15.34276,47983.98,22674.4,42288.7
2024-09-01 06:10:45,45.700104,15.34276,47983.98,22664.63,42293.93
2024-09-01 06:10:56,45.700104,15.34276,47999.07,22555.78,42369.19
2024-09-01 06:11:06,45.700104,15.34276,47709.04,22578.65,42028.05
2024-09-01 06:11:16,45.700104,15.34276,48232.94,22875.61,42463.19
2024-09-01 06:11:26,45.700104,15.34276,48157.96,22627.14,42511.19
2024-09-01 06:11:36,45.700104,15.34276,47938.05,22593.5,42279.9
2024-09-01 06:11:46,45.700104,15.34276,48424.58,22763.02,42740.91
2024-09-01 06:11:56,45.700104,15.34276,48413.26,22860.23,42676.15
2024-09-01 06:12:06,45.700104,15.34276,48489.39,22779.62,42805.49
2024-09-01 06:12:16,45.700104,15.34276,47846.54,22599.37,42172.98
2024-09-01 06:12:26,45.7001,15.342769,48688.49,22809.19,43015.23
2024-09-01 06:12:36,45.700092,15.342774,48901.53,23008.5,43150.53
2024-09-01 06:12:46,45.700092,15.342774,48328.96,22781.91,42622.45
2024-09-01 06:12:56,45.700092,15.342774,48580.23,22775.38,42910.62
2024-09-01 06:13:06,45.700092,15.342774,48554.27,22791.97,42872.4
2024-09-01 06:13:16,45.700092,15.342774,48662.79,22829.64,42975.28
2024-09-01 06:13:26,45.700092,15.342774,48735.45,22894.32,43023.18
2024-09-01 06:13:36,45.700092,15.342774,48405.13,22811.32,42693.1
2024-09-01 06:13:46,45.700092,15.342774,48517.18,22701.37,42878.49
2024-09-01 06:13:56,45.700092,15.342774,48545.62,22806.96,42854.63
2024-09-01 06:14:06,45.700092,15.342774,48623.84,22740.67,42978.37
2024-09-01 06:14:16,45.700092,15.342774,48419.48,22824.72,42702.21
2024-09-01 06:14:26,45.700092,15.342774,48507.98,22800.48,42815.45
2024-09-01 06:14:36,45.700092,15.342774,48716.73,22993.74,42948.9
2024-09-01 06:14:46,45.700092,15.342774,48544.34,22892.87,42807.36
2024-09-01 06:14:56,45.700092,15.342774,48317.21,22935.96,42526.4
2024-09-01 06:15:06,45.700092,15.342774,48566.78,22871.99,42843.95
2024-09-01 06:15:16,45.700092,15.342774,48218.38,22826.36,42473.16
2024-09-01 06:15:26,45.700092,15.342774,48681.52,22669.37,43081.21
2024-09-01 06:15:36,45.700092,15.342774,48521.21,22770.88,42846.18
2024-09-01 06:15:46,45.700092,15.342774,48625.86,22975.85,42855.39
2024-09-01 06:15:56,45.700092,15.342774,48525.12,22636.25,42921.87
2024-09-01 06:16:06,45.700092,15.342774,48631.3,22808.15,42951.04
2024-09-01 06:16:16,45.700092,15.342774,48373.2,22711.94,42709.88
2024-09-01 06:16:26,45.700092,15.342774,48658.71,22877.63,42945.12
2024-09-01 06:16:36,45.700092,15.342774,48173.66,22799.38,42436.89
2024-09-01 06:16:46,45.700092,15.342774,48519.25,22740.62,42860.03
2024-09-01 06:16:56,45.700092,15.342774,48524.5,22711.17,42881.58
2024-09-01 06:17:06,45.700092,15.342774,48485.79,22666.79,42861.27
2024-09-01 06:17:16,45.700092,15.342774,48447.61,22635.19,42834.79
2024-09-01 06:17:26,45.700092,15.342774,48663.39,22896.28,42940.5
2024-09-01 06:17:36,45.700092,15.342774,48660.09,22842.7,42965.29
2024-09-01 06:17:46,45.700092,15.342774,48827.16,22669.59,43245.59
2024-09-01 06:17:56,45.700092,15.342774,48104.23,22546.49,42493.21
2024-09-01 06:18:06,45.700092,15.342774,48604.7,23101.16,42763.92
2024-09-01 06:18:16,45.700092,15.342774,48198.73,22732.41,42501.24
2024-09-01 06:18:26,45.700092,15.342774,48558.87,22639.2,42958.47
2024-09-01 06:18:36,45.700092,15.342774,48192.14,22826.1,42443.5
2024-09-01 06:18:46,45.700092,15.342774,48185.72,22683.88,42512.41
2024-09-01 06:18:56,45.700092,15.342774,48760.77,22766.62,43119.52
2024-09-01 06:19:06,45.700092,15.342774,48406.56,22918.38,42637.34
2024-09-01 06:19:16,45.700092,15.342774,48557.39,22859.57,42839.94
2024-09-01 06:19:26,45.700092,15.342774,48471.24,22860.22,42741.91
2024-09-01 06:19:36,45.700092,15.342774,48648.32,22652.62,43052.51
2024-09-01 06:19:46,45.700092,15.342774,48172.05,22798.26,42435.67
2024-09-01 06:19:56,45.700092,15.342774,48422.73,22779.92,42729.8
2024-09-01 06:20:06,45.700092,15.342774,48294.5,22804.93,42571.05
2024-09-01 06:20:16,45.700092,15.342774,48636.34,22777.63,42972.93
2024-09-01 06:20:26,45.700092,15.342774,48260.78,22555.52,42665.58
2024-09-01 06:20:36,45.700092,15.342774,48551.55,22886.08,42819.15
2024-09-01 06:20:46,45.700092,15.342774,48590.92,22756.74,42932.61
2024-09-01 06:20:56,45.700092,15.342774,48523.55,22736.66,42867
2024-09-01 06:21:06,45.700092,15.342774,48468.03,22760.87,42791.27
2024-09-01 06:21:16,45.700092,15.342774,48395.65,22673.57,42755.68
2024-09-01 06:21:26,45.700092,15.342774,48590.06,22857.87,42877.87
2024-09-01 06:21:36,45.700092,15.342774,48723.83,22810.82,43054.36
2024-09-01 06:21:46,45.700092,15.342774,48495.82,22658.94,42876.77
2024-09-01 06:21:56,45.700092,15.342774,48506,22898.85,42760.66
2024-09-01 06:22:06,45.700092,15.342774,48302.3,22754.42,42606.91
2024-09-01 06:22:16,45.700092,15.342774,48641.46,22880.42,42924.1
2024-09-01 06:22:26,45.700092,15.342774,48450.11,22725.58,42789.73
2024-09-01 06:22:36,45.700092,15.342774,48204.17,22540.73,42609.36
2024-09-01 06:22:46,45.700092,15.342774,48579.61,22666.19,42967.69
2024-09-01 06:22:56,45.700092,15.342774,48526.43,22954.22,42754.16
2024-09-01 06:23:06,45.700092,15.342774,49003.68,23025.93,43256.99
2024-09-01 06:23:16,45.700092,15.342774,49049.52,23127.32,43254.85
2024-09-01 06:23:26,45.700092,15.342774,48655.65,22831.38,42966.27
2024-09-01 06:23:36,45.700092,15.342774,48814.58,22816.6,43153.98
2024-09-01 06:23:46,45.700092,15.342774,49194.21,22960.72,43507.19
2024-09-01 06:23:56,45.700092,15.342774,48898.53,22863.85,43223.96
2024-09-01 06:24:06,45.700092,15.342774,48916.69,22935.65,43206.46
2024-09-01 06:24:16,45.700092,15.342774,48632.15,22716.73,43000.42
2024-09-01 06:24:26,45.700092,15.342774,48738.04,22668.93,43145.29
2024-09-01 06:24:36,45.700092,15.342774,48654.57,22775.05,42994.93
2024-09-01 06:24:46,45.700092,15.342774,48699.36,22742.67,43062.73
2024-09-01 06:24:56,45.700092,15.342774,48741.62,22652.18,43158.14
2024-09-01 06:25:06,45.700092,15.342774,48868.05,22873.57,43184.33
2024-09-01 06:25:16,45.700092,15.342774,48590.2,22616.62,43005.77
2024-09-01 06:25:26,45.700092,15.342774,48418.13,22885.67,42668.04
2024-09-01 06:25:36,45.700092,15.342774,48403.51,22858.48,42666.02
2024-09-01 06:25:46,45.700092,15.342774,48491.55,22605.51,42900.13
2024-09-01 06:25:56,45.700092,15.342774,48393.7,22607.54,42788.42
2024-09-01 06:26:06,45.700092,15.342774,48356.68,22632.54,42733.33
2024-09-01 06:26:16,45.700092,15.342774,48295.14,22684.72,42635.95
2024-09-01 06:26:26,45.700089,15.342772,48335.67,22571.06,42742.06
2024-09-01 06:26:36,45.700089,15.342772,48842.53,22774.71,43207.69
2024-09-01 06:26:46,45.700089,15.342772,48516.93,22795.45,42828.27
2024-09-01 06:26:56,45.700089,15.342772,48806.7,22728.69,43191.44
2024-09-01 06:27:06,45.700089,15.342772,48762.37,23024.24,42984.33
2024-09-01 06:27:16,45.700089,15.342772,48632.76,22841.16,42935.14
2024-09-01 06:27:26,45.700089,15.342772,48555.34,22714.41,42914.77
2024-09-01 06:27:36,45.700089,15.342772,48514.84,22833.17,42805.79
2024-09-01 06:27:46,45.700089,15.342772,48653.5,22915.57,42918.99
2024-09-01 06:27:56,45.700089,15.342772,48517.51,22663.75,42898.75
2024-09-01 06:28:06,45.700089,15.342772,48666.8,22826.81,42981.33
2024-09-01 06:28:16,45.700089,15.342772,48686.54,22621.15,43112.21
2024-09-01 06:28:26,45.700089,15.342772,48810.05,22796.96,43159.24
2024-09-01 06:28:36,45.700089,15.342772,48510.58,22760.54,42839.64
2024-09-01 06:28:46,45.700089,15.342772,48463.04,22669.07,42834.32
2024-09-01 06:28:56,45.700089,15.342772,48774.18,22877.15,43076.18
2024-09-01 06:29:06,45.700089,15.342772,48627.98,22816.11,42943.05
2024-09-01 06:29:16,45.700089,15.342772,48617.84,22677.55,43004.91
2024-09-01 06:29:26,45.700089,15.342772,48951.39,22946.29,43240.1
2024-09-01 06:29:36,45.700089,15.342772,48716.36,22786.5,43058.79
2024-09-01 06:29:46,45.700089,15.342772,48546.19,22813.49,42851.8
2024-09-01 06:29:56,45.700089,15.342772,48511.44,22845.11,42795.57
2024-09-01 06:30:06,45.700089,15.342772,48660.32,22723.67,43028.61
2024-09-01 06:30:16,45.700089,15.342772,48772.25,22943.52,43038.68
2024-09-01 06:30:26,45.700089,15.342772,48943.91,22945.08,43232.27
2024-09-01 06:30:36,45.700089,15.342772,48628.58,23015.87,42837
2024-09-01 06:30:46,45.700089,15.342772,48353.59,22730.91,42677.57
2024-09-01 06:30:56,45.700089,15.342772,48482.5,22685.94,42847.42
2024-09-01 06:31:06,45.700089,15.342772,48613.21,22652.4,43012.94
2024-09-01 06:31:16,45.700089,15.342772,48549.33,22844.46,42838.86
2024-09-01 06:31:26,45.700089,15.342772,48707.61,22801.51,43040.94
2024-09-01 06:31:36,45.700089,15.342772,48456.39,22680.21,42820.9
2024-09-01 06:31:46,45.700089,15.342772,48639.6,22767.91,42981.77
2024-09-01 06:31:56,45.700089,15.342772,48512.07,22885.29,42774.81
2024-09-01 06:32:06,45.700089,15.342772,48603.83,22797.28,42925.71
2024-09-01 06:32:16,45.700089,15.342772,48553.61,23036.32,42740.86
2024-09-01 06:32:26,45.700089,15.342772,48441.48,22900,42686.85
2024-09-01 06:32:36,45.700089,15.342772,48459.73,22745.95,42789.8
2024-09-01 06:32:46,45.700089,15.342772,48572.55,22894.39,42838.53
2024-09-01 06:32:56,45.700089,15.342772,48820.4,22849.88,43142.95
2024-09-01 06:33:06,45.700089,15.342772,48534.61,22697.4,42900.31
2024-09-01 06:33:16,45.700089,15.342772,48428.55,22701.3,42778.21
2024-09-01 06:33:26,45.700089,15.342772,48641.43,22820.47,42955.96
2024-09-01 06:33:36,45.700089,15.342772,48567.62,22982.76,42785.59
2024-09-01 06:33:46,45.700089,15.342772,49021.64,23280.18,43141.09
2024-09-01 06:33:56,45.700089,15.342772,49024.11,23439.09,43057.78
2024-09-01 06:34:06,45.700089,15.342772,48831.43,23196.43,42970.15
2024-09-01 06:34:16,45.700089,15.342772,49037.35,23111.48,43249.53
2024-09-01 06:34:26,45.700089,15.342772,48656.79,23369.35,42677.36
2024-09-01 06:34:36,45.700089,15.342772,48656.21,23251.46,42741.04
2024-09-01 06:34:46,45.700089,15.342772,48847.55,23189.29,42992.33
2024-09-01 06:34:56,45.700089,15.342772,48946.57,23372.46,43005.75
2024-09-01 06:35:06,45.700089,15.342772,49036.68,23426.45,43078.97
2024-09-01 06:35:16,45.700089,15.342772,49206.21,23557.72,43200.52
2024-09-01 06:35:26,45.700089,15.342772,48856.34,23262.12,42962.96
2024-09-01 06:35:36,45.700089,15.342772,49014.57,23274.46,43136.15
2024-09-01 06:35:46,45.700089,15.342772,48913.08,23272.38,43021.92
2024-09-01 06:35:56,45.700089,15.342772,48920.95,23433.32,42943.44
2024-09-01 06:36:06,45.700089,15.342772,48907.33,23283.8,43009.2
2024-09-01 06:36:16,45.700089,15.342772,48957.43,23161.16,43132.24
2024-09-01 06:36:26,45.700089,15.342772,48984.96,23402.5,43033.11
2024-09-01 06:36:36,45.700089,15.342772,48679.53,23177.33,42807.8
2024-09-01 06:36:46,45.700089,15.342772,48981.57,23465,42995.21
2024-09-01 06:36:56,45.700089,15.342772,48979.08,23470.71,42989.25
2024-09-01 06:37:06,45.700089,15.342772,48965.43,23273.79,43080.68
2024-09-01 06:37:16,45.700089,15.342772,49197.4,23580.13,43178.25
2024-09-01 06:37:26,45.700089,15.342772,49036.47,23422.71,43080.77
2024-09-01 06:37:36,45.700089,15.342772,48974.09,23450.92,42994.37
2024-09-01 06:37:46,45.700089,15.342772,49059.96,23543.5,43041.65
2024-09-01 06:37:56,45.700089,15.342772,48970.15,23226.74,43111.42
2024-09-01 06:38:06,45.700089,15.342772,48878.04,23378.5,42924.45
2024-09-01 06:38:16,45.700089,15.342772,48995.49,23376.92,43059
2024-09-01 06:38:26,45.700089,15.342772,48779.79,23215.13,42901.34
2024-09-01 06:38:36,45.700089,15.342772,48925.21,23406.26,42963.04
2024-09-01 06:38:46,45.700089,15.342772,48952.95,23435.47,42978.72
2024-09-01 06:38:56,45.700089,15.342772,49091.56,23417.46,43146.31
2024-09-01 06:39:06,45.700089,15.342772,48742.23,23260.37,42834.1
2024-09-01 06:39:16,45.700089,15.342772,49003.98,23366.2,43074.48
2024-09-01 06:39:26,45.700089,15.342772,48827.67,23310.28,42904.22
2024-09-01 06:39:36,45.700089,15.342772,48637.68,23125.14,42788.45
2024-09-01 06:39:46,45.700089,15.342772,48573.6,23199.09,42675.48
2024-09-01 06:39:56,45.700089,15.342772,48645.22,23221.46,42744.84
2024-09-01 06:40:06,45.700089,15.342772,49043.38,23347.47,43129.44
2024-09-01 06:40:16,45.700089,15.342772,48668.57,23294.86,42731.48
2024-09-01 06:40:26,45.700089,15.342772,48986.14,23474.72,42995.1
2024-09-01 06:40:36,45.700089,15.342772,49055.27,23339.74,43147.14
2024-09-01 06:40:46,45.700089,15.342772,48744.81,23336.45,42795.64
2024-09-01 06:40:56,45.700089,15.342772,48744.78,23245.02,42845.34
2024-09-01 06:41:06,45.700089,15.342772,48822.81,23338.06,42883.59
2024-09-01 06:41:16,45.700089,15.342772,48969.35,23338.08,43050.33
2024-09-01 06:41:26,45.700089,15.342772,48831.18,23424.6,42845.92
2024-09-01 06:41:36,45.700089,15.342772,48750.97,23598.24,42658.88
2024-09-01 06:41:46,45.700089,15.342772,48944.04,23433.14,42969.84
2024-09-01 06:41:56,45.700089,15.342772,48981.93,23546.77,42950.9
2024-09-01 06:42:06,45.700089,15.342772,49013.04,23509.41,43006.81
2024-09-01 06:42:16,45.700089,15.342772,49354.81,23524.59,43387.68
2024-09-01 06:42:26,45.700089,15.342772,48957.67,23445.87,42978.42
2024-09-01 06:42:36,45.700089,15.342772,48922.47,23612.32,42847.01
2024-09-01 06:42:46,45.700089,15.342772,49015,23451.89,43040.44
2024-09-01 06:42:56,45.700089,15.342772,49095.12,23341.12,43191.7
2024-09-01 06:43:06,45.700089,15.342772,48981.32,23551.41,42947.66
2024-09-01 06:43:16,45.700089,15.342772,48928.8,23274.29,43038.77
2024-09-01 06:43:26,45.700089,15.342772,48957.31,23356.84,43026.46
2024-09-01 06:43:36,45.700089,15.342772,48576.12,23212.42,42671.1
2024-09-01 06:43:46,45.700089,15.342772,48825.25,23306.16,42903.7
2024-09-01 06:43:56,45.700089,15.342772,48765.93,23395.88,42787.25
2024-09-01 06:44:06,45.700089,15.342772,48613.36,23131.72,42757.25
2024-09-01 06:44:16,45.700089,15.342772,48756,23278.42,42839.96
2024-09-01 06:44:26,45.700089,15.342772,48999.91,23263.53,43125.4
2024-09-01 06:44:36,45.700089,15.342772,48916.35,23343.68,42987
2024-09-01 06:44:46,45.700089,15.342772,48937.54,23342.67,43011.65
2024-09-01 06:44:56,45.700089,15.342772,48717.88,23326.22,42770.54
2024-09-01 06:45:06,45.700089,15.342772,49174.51,23384.19,43258.67
2024-09-01 06:45:16,45.700089,15.342772,48689.09,23290.48,42757.23
2024-09-01 06:45:26,45.700089,15.342772,48620.72,23253.59,42699.47
2024-09-01 06:45:36,45.700089,15.342772,49300.97,23460.29,43361.28
2024-09-01 06:45:46,45.700089,15.342772,48718.7,23194.97,42842.79
2024-09-01 06:45:56,45.700089,15.342772,48897.28,23384.19,42943.26
2024-09-01 06:46:06,45.700089,15.342772,48662.05,23015.68,42875.09
2024-09-01 06:46:16,45.700089,15.342772,48809.41,23201.76,42942.25
2024-09-01 06:46:26,45.700089,15.342772,48732.79,23161.37,42876.99
2024-09-01 06:46:36,45.700089,15.342772,49101.96,23227.95,43260.43
2024-09-01 06:46:46,45.700089,15.342772,49318.86,23488.94,43366.11
2024-09-01 06:46:56,45.700089,15.342772,48762.06,23099.93,42943.36
2024-09-01 06:47:06,45.700089,15.342772,48487.58,23164.51,42596.37
2024-09-01 06:47:16,45.700089,15.342772,48701.87,23163.1,42840.9
2024-09-01 06:47:26,45.700089,15.342772,48871.99,23361.42,42926.86
2024-09-01 06:47:36,45.700089,15.342772,48924.26,23190.46,43078.84
2024-09-01 06:47:46,45.700089,15.342772,48520.25,23425.63,42490.63
2024-09-01 06:47:56,45.700089,15.342772,48983.36,23550.46,42950.5
2024-09-01 06:48:06,45.700089,15.342772,48996.72,23353.86,43072.92
2024-09-01 06:48:16,45.700089,15.342772,48960.38,23557.56,42920.39
2024-09-01 06:48:26,45.700089,15.342772,49157.84,23486.72,43184.1
2024-09-01 06:48:36,45.700089,15.342772,49354.5,23534.61,43381.9
2024-09-01 06:48:46,45.700089,15.342772,48998.88,23369.85,43066.7
