Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-08-26 13:32:00,46.057392,14.50689,35244.08,14718.92,32023.41
2024-08-26 13:32:10,46.057392,14.506879,31712.21,2395.52,31621.61
2024-08-26 13:32:20,46.057381,14.506888,53421.21,17091.08,50613.45
2024-08-26 13:32:30,46.057484,14.506818,37893.57,18397.55,33127.83
2024-08-26 13:32:40,46.057484,14.506778,41077.43,22201.87,34560.56
2024-08-26 13:32:50,46.057579,14.506736,29343.2,23070.72,18131.89
2024-08-26 13:33:00,46.057613,14.506596,28225.7,15959.29,23280.71
2024-08-26 13:33:10,46.05761,14.506601,28221.93,16129.67,23158.39
2024-08-26 13:33:20,46.057606,14.506609,28651.36,16097.63,23701.62
2024-08-26 13:33:30,46.057602,14.506615,30746.49,19345.56,23897.62
2024-08-26 13:33:40,46.057602,14.506616,30810.89,16998.64,25697.42
2024-08-26 13:33:50,46.057564,14.506701,32369.82,27252.45,17467.37
2024-08-26 13:34:00,46.057594,14.506654,37985.95,26050.58,27645.97
2024-08-26 13:34:10,46.057594,14.506654,37966.37,24237.63,29222.97
2024-08-26 13:34:20,46.057632,14.506603,51413.89,19510.96,47567.95
2024-08-26 13:34:30,46.057476,14.50648,45430.48,29350.74,34676.54
2024-08-26 13:34:40,46.057377,14.50686,31056.79,19211.31,24401.84
2024-08-26 13:34:50,46.057354,14.507081,43647.47,16512.62,40403.41
2024-08-26 13:35:00,46.057343,14.50701,44396.27,29400.13,33266.52
2024-08-26 13:35:10,46.057537,14.507541,49057.38,34589.69,34787.64
2024-08-26 13:35:20,46.057564,14.507638,45136.38,30386.68,33375.78
2024-08-26 13:35:30,46.057503,14.507832,46954.57,27245.28,38241.68
2024-08-26 13:35:40,46.057499,14.508066,45717.38,25554.57,37908.34
2024-08-26 13:35:50,46.057518,14.508268,47536.7,28541.18,38014.98
2024-08-26 13:36:00,46.057487,14.508415,45808.25,25794.68,37855.39
2024-08-26 13:36:10,46.057533,14.508622,47972.88,26948.42,39688.53
2024-08-26 13:36:20,46.057495,14.508865,48274.33,28363.67,39062.93
2024-08-26 13:36:30,46.057484,14.509072,45843.96,27172.07,36923.54
2024-08-26 13:36:40,46.057457,14.50923,45631.25,26779.37,36946.94
2024-08-26 13:36:50,46.057461,14.509475,47859.13,30130.96,37183.62
2024-08-26 13:37:00,46.05756,14.509762,44530.22,23994.38,37512.8
2024-08-26 13:37:10,46.057793,14.509831,45832.93,25237.56,38258.63
2024-08-26 13:37:20,46.057907,14.510001,35285.54,33083.46,12270.04
2024-08-26 13:37:30,46.057915,14.51013,40993.01,25088.68,32418.9
2024-08-26 13:37:40,46.057934,14.510283,41075.65,22719.6,34220.3
2024-08-26 13:37:50,46.057949,14.510496,48021.87,27401.68,39436.63
2024-08-26 13:38:00,46.057949,14.510775,43623.97,21056.93,38205.45
2024-08-26 13:38:10,46.057888,14.510879,43436.79,22873.49,36926.39
2024-08-26 13:38:20,46.057983,14.511172,45935,23104.57,39701.42
2024-08-26 13:38:30,46.058094,14.511341,47838.47,26693.63,39698.48
2024-08-26 13:38:40,46.058144,14.511549,34327.76,10618.57,32644.15
2024-08-26 13:38:50,46.058182,14.511706,42137.38,20928.21,36572.79
2024-08-26 13:39:00,46.05817,14.511827,43007.88,25286.71,34788.79
2024-08-26 13:39:10,46.058205,14.512115,42163.02,23929.88,34714.27
2024-08-26 13:39:20,46.058182,14.512147,41953.71,22191.68,35603.98
2024-08-26 13:39:30,46.058224,14.51246,41508.8,20692.26,35983.48
2024-08-26 13:39:40,46.058231,14.512666,44202.5,22006.21,38335.21
2024-08-26 13:39:50,46.058273,14.512883,57017.88,43105.88,37321.87
2024-08-26 13:40:00,46.058281,14.513105,41706.5,22587.1,35060.74
2024-08-26 13:40:10,46.058456,14.513212,38608.2,17865.59,34225.93
2024-08-26 13:40:20,46.058605,14.513364,39079.8,33296.41,20459.23
2024-08-26 13:40:30,46.058605,14.513364,34935.96,22096.87,27060.1
2024-08-26 13:40:50,46.059349,14.513105,36862.8,18339.52,31977
2024-08-26 13:41:00,46.059349,14.513105,59454.87,26087.28,53425.98
2024-08-26 13:41:10,46.05946,14.512987,50501.48,26314.62,43103.82
2024-08-26 13:41:20,46.059429,14.51299,48135.37,23557.9,41976.65
