Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-12 19:47:11,46.257652,14.424615,47079.67,20095.34,42575.5
2024-07-12 19:47:21,46.257729,14.424724,47813.07,20780.88,43060.94
2024-07-12 19:47:31,46.257832,14.424782,45810.16,22273.17,40030.94
2024-07-12 19:47:41,46.25795,14.424873,47097.82,21069.32,42122.31
2024-07-12 19:47:51,46.25806,14.424901,47892.84,22287.45,42390.96
2024-07-12 19:48:01,46.258202,14.425023,47984.45,21121.67,43085.75
2024-07-12 19:48:11,46.258324,14.425092,47295.04,20481.61,42630.09
2024-07-12 19:48:21,46.258442,14.425168,47858.56,20973.02,43018.3
2024-07-12 19:48:31,46.25856,14.425232,47055.15,20516.39,42346.96
2024-07-12 19:48:41,46.25869,14.425299,47213.51,19512.46,42992.78
2024-07-12 19:48:51,46.258797,14.4254,48014.75,20436.38,43448.47
2024-07-12 19:49:01,46.258884,14.425508,47821.41,20732.16,43093.68
2024-07-12 19:49:11,46.25898,14.425628,47591.59,20235.11,43075.52
2024-07-12 19:49:21,46.25906,14.425734,47645.12,19680.99,43390.28
2024-07-12 19:49:31,46.259155,14.425869,47101.74,20110.37,42592.8
2024-07-12 19:49:41,46.259239,14.42601,48328.99,20121.16,43941.21
2024-07-12 19:49:51,46.259331,14.426134,48031.61,21232.31,43083.92
2024-07-12 19:50:01,46.259407,14.42628,47726.01,20447.23,43124.04
2024-07-12 19:50:11,46.25951,14.426324,48294.06,22192.56,42892.97
2024-07-12 19:50:21,46.259609,14.42631,48113.99,22008.85,42785.12
2024-07-12 19:50:31,46.259735,14.426258,48226.9,22307.26,42757.7
2024-07-12 19:50:41,46.259842,14.42621,48527.27,21957.22,43275.58
2024-07-12 19:50:51,46.259964,14.426174,48510.37,21771.11,43350.6
2024-07-12 19:51:01,46.260075,14.426109,48046.18,21119.18,43155.71
2024-07-12 19:51:11,46.260193,14.426071,48485.66,21853.29,43281.56
2024-07-12 19:51:21,46.260307,14.426017,48428.39,22035.61,43124.71
2024-07-12 19:51:31,46.260403,14.425986,47935.81,21600.01,42793.47
2024-07-12 19:51:41,46.260525,14.425937,48281.13,21859.45,43049.18
2024-07-12 19:51:51,46.260635,14.425893,48160.97,21788.35,42950.52
2024-07-12 19:52:01,46.260742,14.425831,48640.26,22216.6,43270.05
2024-07-12 19:52:11,46.260853,14.425759,48522.07,21961.74,43267.46
2024-07-12 19:52:21,46.260956,14.42571,48687.81,21736.36,43566.43
2024-07-12 19:52:31,46.261055,14.425678,48558,21916.42,43330.7
2024-07-12 19:52:41,46.261162,14.425627,48610.27,21688.57,43503.61
2024-07-12 19:52:51,46.261276,14.425577,48630.71,21782.28,43479.63
2024-07-12 19:53:01,46.261379,14.425531,48486.78,21748.82,43335.4
2024-07-12 19:53:11,46.26149,14.425493,48446.27,21820.36,43254.05
2024-07-12 19:53:21,46.261589,14.425457,48513.96,22027.53,43224.91
2024-07-12 19:53:31,46.261684,14.42544,48526.35,21530.48,43488.45
2024-07-12 19:53:41,46.261803,14.425404,48862.2,22608.21,43317.24
2024-07-12 19:53:51,46.261909,14.425368,48483.01,21739.48,43335.86
2024-07-12 19:54:01,46.26202,14.425353,48396.76,21763.14,43227.45
2024-07-12 19:54:11,46.262115,14.425303,48597.82,21732.66,43467.68
2024-07-12 19:54:21,46.262226,14.425254,48704.89,21827.69,43539.85
2024-07-12 19:54:31,46.262321,14.425201,48677.23,21507.54,43668.05
2024-07-12 19:54:41,46.262424,14.425146,49543.45,20598.85,45058.19
2024-07-12 19:54:51,46.262524,14.425086,48743.15,21784.02,43604.49
2024-07-12 19:55:01,46.262627,14.425033,48523.04,21239.23,43627.75
2024-07-12 19:55:11,46.262726,14.42496,48953.07,22040.21,43710.78
2024-07-12 19:55:22,46.262775,14.424933,49978.43,22416.89,44669.09
2024-07-12 19:55:32,46.262772,14.424919,49880.23,22509.01,44512.71
2024-07-12 19:55:42,46.262772,14.424919,49907.04,22217.04,44689.11
2024-07-12 19:55:52,46.262783,14.424924,49413.34,22474.57,44006.5
2024-07-12 19:56:02,46.262783,14.424924,49625.91,22586.29,44188.12
2024-07-12 19:56:12,46.262783,14.424924,49481.86,22249.36,44197.52
2024-07-12 19:56:22,46.262783,14.424924,49745.05,22271.06,44481.12
2024-07-12 19:56:32,46.262783,14.424924,49545.05,22585.86,44097.51
2024-07-12 19:56:42,46.262783,14.424924,49663.77,22339.99,44355.55
2024-07-12 19:56:52,46.262764,14.424915,49474.82,22317.32,44155.36
2024-07-12 19:57:02,46.262764,14.424911,49645.52,22438.32,44285.43
2024-07-12 19:57:12,46.262772,14.424897,49499.37,22349.57,44166.55
2024-07-12 19:57:22,46.262825,14.424889,48993.5,22213.36,43668.4
2024-07-12 19:57:32,46.262928,14.424834,49186.45,22746.45,43610.84
2024-07-12 19:57:42,46.263023,14.42478,48971.11,22013.92,43744.22
2024-07-12 19:57:52,46.263149,14.424717,49025.68,22335.45,43642.24
2024-07-12 19:58:02,46.263252,14.424641,48569.02,21533.4,43534.61
2024-07-12 19:58:12,46.26339,14.424582,48649.23,21683.68,43549.59
2024-07-12 19:58:22,46.263508,14.424523,48871.61,21249.75,44010.03
2024-07-12 19:58:32,46.263607,14.424445,48317.99,21142.96,43446.56
2024-07-12 19:58:42,46.26371,14.424352,48562.09,21419.79,43582.89
2024-07-12 19:58:52,46.263821,14.42429,48495.65,21855.39,43291.69
2024-07-12 19:59:02,46.263931,14.424232,48581.96,22258.91,43182.73
2024-07-12 19:59:12,46.264038,14.42415,48469.41,22272.1,43049.23
2024-07-12 19:59:22,46.264141,14.424081,49482.74,23895.79,43330.5
2024-07-12 19:59:32,46.264248,14.42397,48640.77,21981.06,43390.76
2024-07-12 19:59:42,46.264359,14.423873,48603.15,21669.62,43505.1
2024-07-12 19:59:52,46.264458,14.423819,48562.48,22039.24,43273.39
2024-07-12 20:00:02,46.264576,14.42377,48356.46,21112.55,43504.11
2024-07-12 20:00:12,46.264698,14.423721,47278.89,20597.55,42556.25
2024-07-12 20:00:22,46.264809,14.423672,48542.51,21816.43,43363.79
2024-07-12 20:00:32,46.264923,14.42361,48557.85,21746.12,43416.25
2024-07-12 20:00:42,46.265026,14.423552,48629.47,21865.24,43436.58
