Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-03 05:11:29,46.257584,14.424862,26537.11,23060.92,-13130.58
2024-07-03 05:11:39,46.257675,14.424677,26715.06,23224.48,-13202.94
2024-07-03 05:11:49,46.257675,14.42469,26685.74,23188.07,-13207.65
2024-07-03 05:11:59,46.257725,14.424668,20222.01,20052.9,-2609.79
2024-07-03 05:12:09,46.25774,14.424681,20586.54,20533,-1483.72
2024-07-03 05:12:19,46.25774,14.42468,22241.45,22056.15,2865.07
2024-07-03 05:12:29,46.257721,14.424704,25262.44,24730.17,5158.44
2024-07-03 05:12:39,46.257496,14.424555,7838.51,5458.24,5625.82
2024-07-03 05:12:49,46.256886,14.423897,9355.92,7856.03,5080.95
2024-07-03 05:12:59,46.256256,14.422953,6118,1606.98,5903.18
2024-07-03 05:13:09,46.255295,14.422578,6845.83,3220.52,6041
2024-07-03 05:13:19,46.254707,14.422495,6886.08,4346.13,5341.28
2024-07-03 05:13:29,46.254398,14.422462,6268.96,2475.41,5759.53
2024-07-03 05:13:39,46.254017,14.422259,6480.5,1366.39,6334.82
2024-07-03 05:13:49,46.252945,14.421817,7802.68,3715.52,6861.25
2024-07-03 05:13:59,46.251526,14.42124,6970.57,2731.34,6413.15
2024-07-03 05:14:09,46.250523,14.420821,19623.63,19150.45,4283.38
2024-07-03 05:14:19,46.250565,14.420444,21826.55,21229.63,5069.65
2024-07-03 05:14:29,46.250435,14.42037,7585.04,5424.06,5302.11
2024-07-03 05:14:39,46.249504,14.420316,6651.89,2701.05,6078.82
2024-07-03 05:14:49,46.248344,14.42009,28097.15,15811.23,23226.17
2024-07-03 05:14:59,46.24736,14.420147,27942.85,14962.91,23599.03
2024-07-03 05:15:09,46.246372,14.42021,28749.65,15990.31,23892.51
2024-07-03 05:15:19,46.245285,14.419932,28611.84,16236.82,23558.51
2024-07-03 05:15:29,46.244217,14.419533,28432.63,15928.59,23551.96
2024-07-03 05:15:39,46.243351,14.419153,30685.37,20948.76,22421.9
2024-07-03 05:15:49,46.242928,14.419283,27215.39,15166.02,22598
2024-07-03 05:15:59,46.241791,14.4193,29938.4,17671.99,24166.27
2024-07-03 05:16:09,46.240505,14.41922,29741.2,19479.78,22473.93
2024-07-03 05:16:19,46.239296,14.419272,30244.06,18417.22,23989.78
2024-07-03 05:16:29,46.238003,14.419,11007.9,10998.47,-455.64
2024-07-03 05:16:39,46.237129,14.418649,9642.33,9512.2,1578.85
2024-07-03 05:16:49,46.236675,14.418492,12000.64,11988.09,548.77
2024-07-03 05:16:59,46.236687,14.419936,20649.05,20537.27,2145.65
2024-07-03 05:17:09,46.236526,14.422606,20865.78,20847.03,884.44
2024-07-03 05:17:19,46.23645,14.425617,19816.05,19781.99,1161.25
2024-07-03 05:17:29,46.236382,14.428594,20026.37,19851.11,2643.68
2024-07-03 05:17:39,46.236252,14.431328,18867.8,18503.41,3690.22
2024-07-03 05:17:49,46.236076,14.432184,20176.58,19749.8,4127.9
2024-07-03 05:17:59,46.235249,14.431914,21368.26,19137.73,9505.26
2024-07-03 05:18:09,46.233604,14.432258,23298.3,21963.59,7772.49
2024-07-03 05:18:19,46.231728,14.434078,23009.87,21252.7,8819.11
2024-07-03 05:18:29,46.229946,14.436617,22684.35,20730.92,9209.16
