Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-21 10:50:25,46.284691,14.873625,18077.46,15312.38,-9608.61
2024-07-21 10:50:35,46.284687,14.873625,18047.16,15566.06,-9132.25
2024-07-21 10:50:45,46.284687,14.873625,18190.67,15472.35,-9565.91
2024-07-21 10:50:55,46.284679,14.873622,23619.25,23123.61,-4813.28
2024-07-21 10:51:05,46.284679,14.873622,9687.43,8736.66,-4185.35
2024-07-21 10:51:15,46.284679,14.873622,9082.2,8590.2,-2948.7
2024-07-21 10:51:25,46.284679,14.873622,8512.25,7855.92,-3277.64
2024-07-21 10:51:35,46.284615,14.873651,13472.36,12878.83,-3954.77
2024-07-21 10:51:45,46.284679,14.873768,36651.6,36124.76,-6192.06
2024-07-21 10:51:55,46.284863,14.874134,37523.55,37089.76,-5689.13
2024-07-21 10:52:05,46.28524,14.874399,38463.56,37760.96,-7318.14
2024-07-21 10:52:15,46.285938,14.874236,36507.38,36118.22,-5316.27
2024-07-21 10:52:25,46.286457,14.874254,10674.45,10443.55,2208.19
2024-07-21 10:52:35,46.28688,14.874754,11909.29,11579.68,2782.49
2024-07-21 10:52:45,46.287342,14.874436,16615.62,16416.79,2562.8
2024-07-21 10:52:55,46.28812,14.873441,15761.91,15106.55,4497.79
2024-07-21 10:53:05,46.288773,14.871624,18773.52,18600.49,2542.96
2024-07-21 10:53:15,46.289486,14.869818,16466.71,16274.02,2511.76
2024-07-21 10:53:25,46.289997,14.867604,21312.69,21085.96,3100.53
2024-07-21 10:53:35,46.290379,14.865313,21023.22,20940.79,1859.89
2024-07-21 10:53:45,46.290398,14.862763,22153.23,22003.12,2574.52
2024-07-21 10:53:55,46.290371,14.860297,23376.86,23233.9,2581.35
2024-07-21 10:54:05,46.29015,14.858143,27694.57,27460.66,3591.81
2024-07-21 10:54:15,46.290337,14.856286,16696.71,15978.02,-4845.93
2024-07-21 10:54:25,46.289761,14.855442,22946.92,21984.04,6577.48
2024-07-21 10:54:35,46.289795,14.854198,31150.63,20803.87,-23185.35
2024-07-21 10:54:45,46.289948,14.852717,31230.57,19148.97,-24671.15
2024-07-21 10:54:55,46.290138,14.851338,30747.42,18078.42,-24871.17
2024-07-21 10:55:05,46.29015,14.849629,28287.74,15527.46,-23645.18
2024-07-21 10:55:15,46.289894,14.847439,7009.96,6987.19,-564.55
2024-07-21 10:55:25,46.289764,14.845465,7058.94,7054.53,249.46
2024-07-21 10:55:35,46.289444,14.844228,9130.01,9125.67,281.39
2024-07-21 10:55:45,46.289558,14.843227,16286.05,15942.63,-3326.84
2024-07-21 10:55:55,46.290001,14.842023,12175.77,12145.39,-859.58
2024-07-21 10:56:05,46.290218,14.840716,10510.61,10408.15,1464.01
2024-07-21 10:56:15,46.290531,14.839511,12025.34,11733.45,-2633.45
